_id,end,start,tweet_count
ObjectId(626f6a1d10fcafb74b6f2fec),2021-10-06T00:00:00.000Z,2021-10-05T00:00:00.000Z,313384
ObjectId(626f6a1d10fcafb74b6f2fed),2021-10-07T00:00:00.000Z,2021-10-06T00:00:00.000Z,364666
ObjectId(626f6a1d10fcafb74b6f2fee),2021-10-08T00:00:00.000Z,2021-10-07T00:00:00.000Z,321942
ObjectId(626f6a1d10fcafb74b6f2fef),2021-10-09T00:00:00.000Z,2021-10-08T00:00:00.000Z,258529
ObjectId(626f6a1d10fcafb74b6f2ff0),2021-10-10T00:00:00.000Z,2021-10-09T00:00:00.000Z,233275
ObjectId(626f6a1d10fcafb74b6f2ff1),2021-10-11T00:00:00.000Z,2021-10-10T00:00:00.000Z,226652
ObjectId(626f6a1d10fcafb74b6f2ff2),2021-10-12T00:00:00.000Z,2021-10-11T00:00:00.000Z,306062
ObjectId(626f6a1d10fcafb74b6f2ff3),2021-10-13T00:00:00.000Z,2021-10-12T00:00:00.000Z,274068
ObjectId(626f6a1d10fcafb74b6f2ff4),2021-10-14T00:00:00.000Z,2021-10-13T00:00:00.000Z,279892
ObjectId(626f6a1d10fcafb74b6f2ff5),2021-10-15T00:00:00.000Z,2021-10-14T00:00:00.000Z,284961
ObjectId(626f6a1d10fcafb74b6f2ff6),2021-10-16T00:00:00.000Z,2021-10-15T00:00:00.000Z,442586
ObjectId(626f6a1d10fcafb74b6f2ff7),2021-10-17T00:00:00.000Z,2021-10-16T00:00:00.000Z,306294
ObjectId(626f6a1d10fcafb74b6f2ff8),2021-10-18T00:00:00.000Z,2021-10-17T00:00:00.000Z,259445
ObjectId(626f6a1d10fcafb74b6f2ff9),2021-10-19T00:00:00.000Z,2021-10-18T00:00:00.000Z,298793
ObjectId(626f6a1d10fcafb74b6f2ffa),2021-10-20T00:00:00.000Z,2021-10-19T00:00:00.000Z,373328
ObjectId(626f6a1d10fcafb74b6f2ffb),2021-10-21T00:00:00.000Z,2021-10-20T00:00:00.000Z,502698
ObjectId(626f6a1d10fcafb74b6f2ffc),2021-10-22T00:00:00.000Z,2021-10-21T00:00:00.000Z,350537
ObjectId(626f6a1d10fcafb74b6f2ffd),2021-10-23T00:00:00.000Z,2021-10-22T00:00:00.000Z,345444
ObjectId(626f6a1d10fcafb74b6f2ffe),2021-10-24T00:00:00.000Z,2021-10-23T00:00:00.000Z,266788
ObjectId(626f6a1d10fcafb74b6f2fff),2021-10-25T00:00:00.000Z,2021-10-24T00:00:00.000Z,262588
ObjectId(626f6a1d10fcafb74b6f3000),2021-08-25T00:00:00.000Z,2021-08-24T00:00:00.000Z,274497
ObjectId(626f6a1d10fcafb74b6f3001),2021-08-26T00:00:00.000Z,2021-08-25T00:00:00.000Z,260934
ObjectId(626f6a1d10fcafb74b6f3002),2021-08-27T00:00:00.000Z,2021-08-26T00:00:00.000Z,276175
ObjectId(626f6a1d10fcafb74b6f3003),2021-08-28T00:00:00.000Z,2021-08-27T00:00:00.000Z,287166
ObjectId(626f6a1d10fcafb74b6f3004),2021-08-29T00:00:00.000Z,2021-08-28T00:00:00.000Z,239966
ObjectId(626f6a1d10fcafb74b6f3005),2021-08-30T00:00:00.000Z,2021-08-29T00:00:00.000Z,275525
ObjectId(626f6a1d10fcafb74b6f3006),2021-08-31T00:00:00.000Z,2021-08-30T00:00:00.000Z,262332
ObjectId(626f6a1d10fcafb74b6f3007),2021-09-01T00:00:00.000Z,2021-08-31T00:00:00.000Z,255295
ObjectId(626f6a1d10fcafb74b6f3008),2021-09-02T00:00:00.000Z,2021-09-01T00:00:00.000Z,263162
ObjectId(626f6a1d10fcafb74b6f3009),2021-09-03T00:00:00.000Z,2021-09-02T00:00:00.000Z,289020
ObjectId(626f6a1d10fcafb74b6f300a),2021-09-04T00:00:00.000Z,2021-09-03T00:00:00.000Z,310349
ObjectId(626f6a1d10fcafb74b6f300b),2021-09-05T00:00:00.000Z,2021-09-04T00:00:00.000Z,248497
ObjectId(626f6a1d10fcafb74b6f300c),2021-09-06T00:00:00.000Z,2021-09-05T00:00:00.000Z,230533
ObjectId(626f6a1d10fcafb74b6f300d),2021-09-07T00:00:00.000Z,2021-09-06T00:00:00.000Z,322580
ObjectId(626f6a1d10fcafb74b6f300e),2021-09-08T00:00:00.000Z,2021-09-07T00:00:00.000Z,530565
ObjectId(626f6a1d10fcafb74b6f300f),2021-09-09T00:00:00.000Z,2021-09-08T00:00:00.000Z,364838
ObjectId(626f6a1d10fcafb74b6f3010),2021-09-10T00:00:00.000Z,2021-09-09T00:00:00.000Z,268568
ObjectId(626f6a1d10fcafb74b6f3011),2021-09-11T00:00:00.000Z,2021-09-10T00:00:00.000Z,271379
ObjectId(626f6a1d10fcafb74b6f3012),2021-09-12T00:00:00.000Z,2021-09-11T00:00:00.000Z,254957
ObjectId(626f6a1d10fcafb74b6f3013),2021-09-13T00:00:00.000Z,2021-09-12T00:00:00.000Z,241955
ObjectId(626f6a1d10fcafb74b6f3014),2021-09-14T00:00:00.000Z,2021-09-13T00:00:00.000Z,326784
ObjectId(626f6a1d10fcafb74b6f3015),2021-09-15T00:00:00.000Z,2021-09-14T00:00:00.000Z,270074
ObjectId(626f6a1d10fcafb74b6f3016),2021-09-16T00:00:00.000Z,2021-09-15T00:00:00.000Z,263601
ObjectId(626f6a1d10fcafb74b6f3017),2021-09-17T00:00:00.000Z,2021-09-16T00:00:00.000Z,269741
ObjectId(626f6a1d10fcafb74b6f3018),2021-09-18T00:00:00.000Z,2021-09-17T00:00:00.000Z,260895
ObjectId(626f6a1d10fcafb74b6f3019),2021-09-19T00:00:00.000Z,2021-09-18T00:00:00.000Z,246070
ObjectId(626f6a1d10fcafb74b6f301a),2021-09-20T00:00:00.000Z,2021-09-19T00:00:00.000Z,226369
ObjectId(626f6a1d10fcafb74b6f301b),2021-09-21T00:00:00.000Z,2021-09-20T00:00:00.000Z,282562
ObjectId(626f6a1d10fcafb74b6f301c),2021-09-22T00:00:00.000Z,2021-09-21T00:00:00.000Z,272905
ObjectId(626f6a1d10fcafb74b6f301d),2021-09-23T00:00:00.000Z,2021-09-22T00:00:00.000Z,257184
ObjectId(626f6a1d10fcafb74b6f301e),2021-09-24T00:00:00.000Z,2021-09-23T00:00:00.000Z,293714
